symbol,company,financial_subtype,eps_statement,net_income_statement,equity_statement,bvps_statement,period_basis,unit_basis,ttm_eps,ttm_net_income,equity,bvps,roe,missing_core_fields,roe_mapping_anomaly,usable,result,reason_code
2880,華南金,BANK_HOLDING,income statement / vendor EPS field,income statement / vendor IncomeAfterTaxes fallback,balance sheet / owners-of-parent equity fallback,balance sheet / vendor per-share field when supplied,UNVERIFIED_STANDALONE_VS_CUMULATIVE,VENDOR_NATIVE_UNVERIFIED_FOR_CROSS_FIELD_CONSISTENCY,,45368306000.0,241740611000.0,,0.19823958467321828,EPS | BVPS,False,False,UNKNOWN / INSUFFICIENT,FINANCIAL_STATE_UNSUPPORTED
2881,富邦金,INSURANCE_HEAVY,income statement / vendor EPS field,income statement / vendor IncomeAfterTaxes fallback,balance sheet / owners-of-parent equity fallback,balance sheet / vendor per-share field when supplied,UNVERIFIED_STANDALONE_VS_CUMULATIVE,VENDOR_NATIVE_UNVERIFIED_FOR_CROSS_FIELD_CONSISTENCY,,603605211000.0,1284103748000.0,,0.5727580251061587,EPS | BVPS,True,False,UNKNOWN / INSUFFICIENT,FINANCIAL_STATE_UNSUPPORTED
2882,國泰金,INSURANCE_HEAVY,income statement / vendor EPS field,income statement / vendor IncomeAfterTaxes fallback,balance sheet / owners-of-parent equity fallback,balance sheet / vendor per-share field when supplied,UNVERIFIED_STANDALONE_VS_CUMULATIVE,VENDOR_NATIVE_UNVERIFIED_FOR_CROSS_FIELD_CONSISTENCY,,667473405000.0,1130219428000.0,,0.7088370340386736,EPS | BVPS,True,False,UNKNOWN / INSUFFICIENT,FINANCIAL_STATE_UNSUPPORTED
2883,凱基金,BANK_HOLDING,income statement / vendor EPS field,income statement / vendor IncomeAfterTaxes fallback,balance sheet / owners-of-parent equity fallback,balance sheet / vendor per-share field when supplied,UNVERIFIED_STANDALONE_VS_CUMULATIVE,VENDOR_NATIVE_UNVERIFIED_FOR_CROSS_FIELD_CONSISTENCY,,216252888000.0,469341765000.0,,0.5339495220295242,EPS | BVPS,True,False,UNKNOWN / INSUFFICIENT,FINANCIAL_STATE_UNSUPPORTED
2884,玉山金,BANK_HOLDING,income statement / vendor EPS field,income statement / vendor IncomeAfterTaxes fallback,balance sheet / owners-of-parent equity fallback,balance sheet / vendor per-share field when supplied,UNVERIFIED_STANDALONE_VS_CUMULATIVE,VENDOR_NATIVE_UNVERIFIED_FOR_CROSS_FIELD_CONSISTENCY,,55615567000.0,282170486000.0,,0.20962996901450742,EPS | BVPS,False,False,UNKNOWN / INSUFFICIENT,FINANCIAL_STATE_UNSUPPORTED
2885,元大金,BANK_HOLDING,income statement / vendor EPS field,income statement / vendor IncomeAfterTaxes fallback,balance sheet / owners-of-parent equity fallback,balance sheet / vendor per-share field when supplied,UNVERIFIED_STANDALONE_VS_CUMULATIVE,VENDOR_NATIVE_UNVERIFIED_FOR_CROSS_FIELD_CONSISTENCY,,102098491000.0,410130068000.0,,0.271311580180276,EPS | BVPS,False,False,UNKNOWN / INSUFFICIENT,FINANCIAL_STATE_UNSUPPORTED
2886,兆豐金,BANK_HOLDING,income statement / vendor EPS field,income statement / vendor IncomeAfterTaxes fallback,balance sheet / owners-of-parent equity fallback,balance sheet / vendor per-share field when supplied,UNVERIFIED_STANDALONE_VS_CUMULATIVE,VENDOR_NATIVE_UNVERIFIED_FOR_CROSS_FIELD_CONSISTENCY,,66600660000.0,402356025000.0,,0.17433458551834932,EPS | BVPS,False,False,UNKNOWN / INSUFFICIENT,FINANCIAL_STATE_UNSUPPORTED
2887,台新新光金,INSURANCE_HEAVY,income statement / vendor EPS field,income statement / vendor IncomeAfterTaxes fallback,balance sheet / owners-of-parent equity fallback,balance sheet / vendor per-share field when supplied,UNVERIFIED_STANDALONE_VS_CUMULATIVE,VENDOR_NATIVE_UNVERIFIED_FOR_CROSS_FIELD_CONSISTENCY,,253679197000.0,713610328000.0,,0.5247146832901305,EPS | BVPS,True,False,UNKNOWN / INSUFFICIENT,FINANCIAL_STATE_UNSUPPORTED
2890,永豐金,BANK_HOLDING,income statement / vendor EPS field,income statement / vendor IncomeAfterTaxes fallback,balance sheet / owners-of-parent equity fallback,balance sheet / vendor per-share field when supplied,UNVERIFIED_STANDALONE_VS_CUMULATIVE,VENDOR_NATIVE_UNVERIFIED_FOR_CROSS_FIELD_CONSISTENCY,,40697605000.0,267691985000.0,,0.17114424188097815,EPS | BVPS,False,False,UNKNOWN / INSUFFICIENT,FINANCIAL_STATE_UNSUPPORTED
2891,中信金,BANK_HOLDING,income statement / vendor EPS field,income statement / vendor IncomeAfterTaxes fallback,balance sheet / owners-of-parent equity fallback,balance sheet / vendor per-share field when supplied,UNVERIFIED_STANDALONE_VS_CUMULATIVE,VENDOR_NATIVE_UNVERIFIED_FOR_CROSS_FIELD_CONSISTENCY,,329756600000.0,736020684000.0,,0.5392681781939143,EPS | BVPS,True,False,UNKNOWN / INSUFFICIENT,FINANCIAL_STATE_UNSUPPORTED
2892,第一金,BANK_HOLDING,income statement / vendor EPS field,income statement / vendor IncomeAfterTaxes fallback,balance sheet / owners-of-parent equity fallback,balance sheet / vendor per-share field when supplied,UNVERIFIED_STANDALONE_VS_CUMULATIVE,VENDOR_NATIVE_UNVERIFIED_FOR_CROSS_FIELD_CONSISTENCY,,60977921000.0,301502568000.0,,0.2158270959458938,EPS | BVPS,False,False,UNKNOWN / INSUFFICIENT,FINANCIAL_STATE_UNSUPPORTED
5880,合庫金,BANK_HOLDING,income statement / vendor EPS field,income statement / vendor IncomeAfterTaxes fallback,balance sheet / owners-of-parent equity fallback,balance sheet / vendor per-share field when supplied,UNVERIFIED_STANDALONE_VS_CUMULATIVE,VENDOR_NATIVE_UNVERIFIED_FOR_CROSS_FIELD_CONSISTENCY,,51341244000.0,297867835000.0,,0.1839048679515432,EPS | BVPS,False,False,UNKNOWN / INSUFFICIENT,FINANCIAL_STATE_UNSUPPORTED
